Team,Score,Participants
Hackers,58,"Ethan, Sophia, Jacob, Ava"
Firewalls,84,"William, Olivia, Lily, Tyler"
Servers,45,"Mia, Dylan, Ryan, Emily"
Routers,71,"Aiden, Isabella, Sophia, Mason"
Clouds,29,"Chloe, Harper, Lucas, Noah"
Algorithms,61,"Madison, Elizabeth, Ryan, Ethan"
Malware,96,"Emma, Jacob, Ava, Benjamin"
Encryption,53,"Isabelle, Sophia, William, Michael"
Databases,78,"Tyler, Lily, Grace, Jackson"
Software,67,"Charlotte, Olivia, Liam, Hailey"
Debuggers,14,"Dylan, Tyler, Mia, Caleb"
Silicon,86,"Emily, Sophia, Noah, Ava"
Cybersecurity,42,"Tyler, Samantha, Maya, Lucas"
Code,76,"Jacob, Emma, Lily, Ryan"
Digital,39,"William, Sophia, Mia, Aiden"
Wifi,88,"Benjamin, Isabella, Mason, Chloe"
Analytics,52,"Grace, Tyler, Ethan, Olivia"
Operating,73,"Lily, Ava, Michael, Jackson"
Virtualization,27,"Madison, Hailey, Caleb, Elizabeth"
Hacking,91,"Sophia, Emma, Tyler, Liam"
Debugging,31,"Noah, Samantha, Mia, Lucas"
Database,59,"Ryan, Lily, Aiden, Sophia"
